Caller,Receiver,Date,Time,Duration,TowerID,IMEI
8805786023,9616692777,12-06-2020,00:13:12,60,40478-38009-10112,449698079317467
8805786023,7703552164,01-06-2020,12:15:54,36,40493-2186-24872,275901930320464
8805786023,8751633832,19-06-2020,17:54:26,53,40493-7195-23957,089719680391543
8805786023,8650807946,04-06-2020,02:52:33,94,40467-61302-43981,398032638565017
8805786023,8763440769,17-06-2020,11:46:46,85,40478-35500-12111,188615859445436
9904792737,8040315838,15-06-2020,11:35:38,88,40458-3091-20261685,644680121038594
9904792737,8612724460,09-06-2020,23:21:48,92,40493-2186-24872,655248701536674
9904792737,9315745635,12-06-2020,22:26:51,32,40493-7207-38374,062422231913983
9109709886,9217826663,10-06-2020,14:30:19,76,40467-61302-43981,976575300749278
9109709886,8344102744,19-06-2020,23:17:14,99,40478-38009-10112,193629306565450
9109709886,7217467582,06-06-2020,16:13:35,33,40493-1150-38981,910312854667165
9109709886,9711336238,15-06-2020,08:53:53,100,40467-1164-10423,967462950572072
9109709886,7694823496,06-06-2020,02:51:03,23,40478-38009-10112,060701793772294
9109709886,8447933794,04-06-2020,19:28:50,75,40467-61302-43882,348321239678979
9109709886,7230137725,10-06-2020,19:55:56,80,40478-38004-10762,430484018436777
9109709886,8071687275,02-06-2020,00:18:08,35,40478-42081-10755882,630358851384515
9109709886,7340496772,07-06-2020,01:44:39,36,40458-2131-13202,446206666152640
9109709886,7967350539,02-06-2020,01:30:47,84,40493-503-52514049,053762748263225
9019961866,9165828365,16-06-2020,19:01:05,28,40478-35000-11332,120867566701134
9019961866,8756694485,18-06-2020,15:03:01,86,40478-38011-10032,103091514938288
9019961866,8413689727,15-06-2020,04:18:09,82,40478-33081-20206797,789255967727463
9019961866,7682094506,06-06-2020,20:33:17,5,40493-903-37951,524121900172211
9019961866,8413689727,04-06-2020,14:01:22,59,40478-38009-10112,147340620444233
9019961866,9904792737,02-06-2020,22:47:33,25,40478-33141-20599442,952668135903277
9019961866,7630969835,11-06-2020,07:22:43,21,40478-42081-10755882,045698280842358
9019961866,8072381678,06-06-2020,12:32:16,87,40478-40081-10786859,381611554458517
9019961866,8045631188,17-06-2020,08:18:30,27,40478-33081-20206507,246949112333138
9019961866,8489285528,02-06-2020,10:43:59,98,40493-903-1537295,557965795719994
8962812945,9617435579,16-06-2020,12:01:34,88,40478-38010-12233,763944712108312
8962812945,8171167598,01-06-2020,09:27:09,39,40493-903-1565601,179797103054141
8962812945,7154290770,06-06-2020,13:56:57,51,40478-35500-10093,696241924400143
8962812945,9165828365,14-06-2020,20:38:16,20,40493-903-1537295,779000441203721
7190266192,7129784200,18-06-2020,16:28:54,45,40493-6002-61303,682299646159565
7190266192,8447933794,20-06-2020,13:54:14,22,40478-30932-10371,875047282251263
