IMEI,Private IP,Private Port,Public IP,Public Port,Dest IP,DEST PORT,MSISDN,IMSI,Start Date,Start Time,End Date,End Time,CELL_ID,Uplink Volume,Downlink Volume,Total Volume,I_RATTYPE
7003530430,192.209.53.28,947,89.235.174.165,9765,176.248.39.168,7275,814760903457,8712553713,17-06-2020,00:08:59,18-06-2020,16:33:59,331,0.08,0.02,0.1,3G
7003530430,10.125.153.94,4285,244.79.17.40,2662,232.61.120.255,40032,222732592397,7857270801,02-06-2020,09:44:24,03-06-2020,10:07:55,119,0.0,0.09,0.09,2G
7003530430,172.25.62.241,2575,180.249.127.12,7905,144.15.115.89,8027,121163745699,9270266698,13-06-2020,11:05:43,15-06-2020,04:05:35,683,0.01,0.01,0.02,3G
7003530430,192.112.134.2,6782,112.218.21.106,3453,73.107.205.99,8013,200933970993,9323510387,15-06-2020,11:45:50,16-06-2020,21:39:41,598,0.09,0.0,0.09,3G
7003530430,192.115.217.238,3102,193.1.65.22,3531,208.75.252.168,40023,590139154911,7936790992,19-06-2020,00:50:32,19-06-2020,02:27:36,910,0.09,0.07,0.16,3G
7003530430,10.19.7.104,673,75.32.233.149,5337,168.29.225.177,7275,556087464002,9926800142,10-06-2020,17:58:56,11-06-2020,17:04:29,247,0.0,0.03,0.03,2G
7003530430,192.10.200.55,9826,174.155.91.107,7018,58.52.240.179,40008,734784307528,7989177613,08-06-2020,04:14:55,08-06-2020,07:03:41,339,0.05,0.09,0.14,3G
7003530430,172.27.245.142,7189,73.176.45.136,5241,6.189.217.184,8017,567336993384,7428577220,08-06-2020,14:43:32,12-06-2020,13:40:28,308,0.05,0.07,0.12000000000000001,2G
7003530430,10.103.119.189,6098,0.219.72.161,4442,52.80.203.171,61076,638089555124,8129600620,18-06-2020,11:21:25,20-06-2020,10:49:46,375,0.09,0.01,0.09999999999999999,3G
7003530430,10.57.166.73,4663,154.137.195.17,8359,97.178.224.255,40004,313733657292,9428691287,05-06-2020,20:53:08,19-06-2020,21:56:43,417,0.09,0.01,0.09999999999999999,2G
7003530430,172.26.204.245,2637,155.94.203.204,3083,173.37.143.1,8013,327543403278,7456040105,15-06-2020,04:23:02,18-06-2020,21:10:58,902,0.01,0.01,0.02,3G
7003530430,10.223.134.226,2502,83.231.232.104,9257,9.50.122.34,3478-3481,686825590147,7441365382,18-06-2020,02:27:38,20-06-2020,03:54:58,614,0.02,0.04,0.06,3G
7003530430,192.253.122.71,6478,34.16.125.25,1698,26.212.25.226,5228,149632856057,9845091551,02-06-2020,05:07:32,07-06-2020,16:35:01,682,0.05,0.0,0.05,3G
7003530430,192.142.78.19,8360,68.78.255.100,6424,97.235.158.150,8024,755698116988,7245294941,09-06-2020,12:43:05,13-06-2020,20:26:02,944,0.09,0.06,0.15,3G
7003530430,192.27.38.41,53,229.153.60.26,7264,240.20.88.215,5228,946048046190,8594057515,09-06-2020,07:42:16,18-06-2020,02:30:32,434,0.07,0.05,0.12000000000000001,2G
7003530430,10.157.112.164,7169,223.207.252.89,7542,37.19.42.196,40023,681964507367,7307904164,04-06-2020,22:20:13,05-06-2020,05:35:45,598,0.02,0.01,0.03,2G
7003530430,192.2.41.245,7271,41.56.230.179,3501,190.17.111.226,8017,286357480202,7588778583,06-06-2020,08:18:08,07-06-2020,16:56:49,256,0.01,0.02,0.03,2G
7003530430,10.200.120.98,6886,235.212.161.62,6987,72.96.109.14,443,586651213046,8345444878,20-06-2020,02:02:13,20-06-2020,10:53:08,323,0.08,0.09,0.16999999999999998,3G
7003530430,172.28.18.174,517,203.70.136.223,7844,218.2.152.7,40032,575704150657,7925535916,20-06-2020,18:52:28,20-06-2020,19:51:29,481,0.08,0.03,0.11,3G
7003530430,10.161.233.33,1600,240.190.178.180,6023,139.23.148.74,40005,628112877161,7880841573,16-06-2020,07:39:13,20-06-2020,02:00:32,331,0.0,0.08,0.08,2G
7003530430,10.11.179.139,8478,50.94.149.43,1492,160.71.170.25,7275,229447802018,7474448736,01-06-2020,23:18:38,03-06-2020,14:49:46,256,0.05,0.08,0.13,3G
7003530430,192.238.143.98,283,224.56.77.86,9414,111.137.70.227,8009,808390454433,9763325283,15-06-2020,13:44:02,15-06-2020,22:52:58,130,0.01,0.02,0.03,2G
7003530430,172.30.25.96,8137,169.117.222.249,6484,255.120.234.14,8081,498273247858,7607756176,14-06-2020,15:20:46,17-06-2020,12:37:23,991,0.04,0.0,0.04,3G
7003530430,10.96.158.131,5363,140.106.239.213,3040,200.88.99.45,8027,962194596966,9948770617,05-06-2020,05:01:05,11-06-2020,07:48:50,442,0.01,0.07,0.08,2G
7003530430,192.226.166.91,7283,13.228.19.6,4036,157.29.177.130,40026,141156140476,8279256257,11-06-2020,00:57:35,13-06-2020,12:07:35,697,0.02,0.09,0.11,2G
7003530430,172.20.162.163,9897,252.103.184.228,7720,220.82.252.140,51637,944962292861,7883104576,12-06-2020,04:41:11,14-06-2020,14:37:14,121,0.04,0.04,0.08,3G
7003530430,172.27.50.214,1056,6.202.130.125,5257,169.129.195.20,40029,374609536449,8565893730,20-06-2020,12:16:32,20-06-2020,18:17:22,394,0.06,0.07,0.13,3G
7003530430,10.235.99.25,9355,111.13.96.83,9615,239.18.240.28,5223,238680800864,7040350494,04-06-2020,03:44:07,20-06-2020,18:57:12,562,0.08,0.01,0.09,3G
7003530430,10.242.77.22,9287,235.190.23.4,1553,226.193.25.210,5222,502518608855,8412603032,17-06-2020,14:17:58,19-06-2020,11:33:22,164,0.02,0.02,0.04,3G
7003530430,10.28.99.121,4529,121.84.25.215,9533,149.66.116.232,61076,707107861544,8489251537,03-06-2020,05:15:56,20-06-2020,05:59:28,231,0.01,0.07,0.08,2G
7003530430,192.254.254.123,5562,248.86.174.50,2611,240.244.35.78,8003,152638253209,7111301960,16-06-2020,15:39:35,20-06-2020,16:43:50,935,0.05,0.05,0.1,3G
7003530430,192.195.94.251,6453,189.22.77.85,1847,201.113.206.211,8025,162976723349,8227794283,11-06-2020,17:33:34,17-06-2020,08:38:42,118,0.06,0.09,0.15,3G
7003530430,192.53.181.217,1797,159.222.244.46,4147,153.161.196.183,40023,159170228881,8373366787,16-06-2020,03:40:59,19-06-2020,15:48:15,971,0.0,0.03,0.03,2G
7003530430,192.109.62.180,4846,163.167.123.24,9813,129.249.171.27,40004,564483207547,8202674034,17-06-2020,04:05:10,20-06-2020,19:00:39,754,0.02,0.06,0.08,3G
7003530430,192.208.185.54,1212,7.249.112.127,7886,113.111.38.62,40023,996322594602,9546727973,14-06-2020,11:08:49,16-06-2020,03:24:55,454,0.03,0.02,0.05,3G
7003530430,172.26.79.144,5500,13.45.23.210,5538,12.125.113.98,58128,643977186385,7830193845,16-06-2020,09:00:12,17-06-2020,11:21:47,279,0.01,0.08,0.09,2G
7003530430,10.66.130.70,7978,106.47.149.253,8993,193.201.36.213,8025,560053483881,8292695282,06-06-2020,19:30:36,19-06-2020,03:51:19,614,0.04,0.01,0.05,2G
7003530430,192.30.141.82,7017,140.50.137.169,4585,153.179.177.95,40023,323070792097,7827467999,02-06-2020,20:46:48,07-06-2020,12:14:21,804,0.02,0.04,0.06,2G
7003530430,172.31.171.2,8314,99.14.170.138,2710,6.221.144.46,443,852083855053,8457820081,20-06-2020,12:47:14,20-06-2020,13:47:22,474,0.08,0.0,0.08,3G
7003530430,192.121.182.146,9385,62.164.159.13,9383,85.72.87.213,40004,651622489066,7492609881,01-06-2020,12:43:06,16-06-2020,11:44:55,827,0.02,0.02,0.04,3G
7003530430,192.133.53.137,6577,112.169.127.71,7807,71.249.122.81,8027,754706483757,8827222115,03-06-2020,16:53:22,04-06-2020,13:59:41,140,0.03,0.05,0.08,2G
7003530430,10.234.130.85,3722,3.39.200.196,5595,164.46.255.92,61076,503537807038,8498133017,11-06-2020,00:27:41,16-06-2020,19:05:44,154,0.0,0.02,0.02,3G
7003530430,10.218.181.113,867,97.39.27.193,7683,20.77.153.249,51637,138424257657,9111555806,19-06-2020,06:58:35,20-06-2020,16:31:20,104,0.0,0.05,0.05,3G
7003530430,192.59.105.176,3750,57.174.55.208,7605,94.180.37.89,443,123925439099,8283783783,15-06-2020,18:46:42,20-06-2020,10:08:05,229,0.04,0.04,0.08,2G
7003530430,172.30.225.107,5114,184.12.17.51,2087,26.88.154.54,40005,244719793700,8336615884,03-06-2020,16:15:09,13-06-2020,20:58:25,978,0.09,0.01,0.09999999999999999,3G
7003530430,172.31.238.181,4801,203.48.56.148,3379,143.73.53.248,40019,759770585179,7251880144,05-06-2020,13:16:56,19-06-2020,11:07:52,462,0.06,0.04,0.1,2G
7003530430,192.1.152.10,4826,50.199.140.209,8234,73.181.49.201,49152-65535,942539507255,7122157057,05-06-2020,11:48:09,18-06-2020,13:20:50,291,0.03,0.01,0.04,3G
7003530430,10.100.127.12,1434,116.241.99.46,7897,236.17.242.33,143,578590328849,9093568278,08-06-2020,15:10:33,17-06-2020,10:42:03,926,0.0,0.04,0.04,2G
7003530430,10.248.232.234,8427,159.92.72.127,4325,169.145.27.161,8024,729509838366,8398525639,19-06-2020,19:51:07,20-06-2020,17:37:53,716,0.07,0.01,0.08,3G
7003530430,10.253.177.14,5434,16.132.236.102,5250,32.151.100.41,40034,763062192302,8747313085,07-06-2020,01:58:38,11-06-2020,12:16:41,468,0.01,0.02,0.03,2G
7011143196,192.84.157.237,3336,77.247.133.228,9315,55.60.58.189,40023,480650922621,7829385684,08-06-2020,18:13:28,13-06-2020,00:44:36,860,0.02,0.0,0.02,3G
7011143196,172.25.205.250,841,137.155.68.159,6722,80.253.80.73,8003,867347203439,9299919088,09-06-2020,14:25:29,18-06-2020,09:25:05,588,0.09,0.02,0.11,3G
7011143196,10.67.28.223,3389,16.67.125.71,6500,17.219.93.198,8027,671557467203,7121978948,20-06-2020,08:49:35,20-06-2020,10:54:32,410,0.06,0.03,0.09,3G
7011143196,10.92.109.31,933,177.16.110.5,9195,250.26.195.128,3478-3481,713047343627,8739606179,19-06-2020,17:11:47,20-06-2020,05:51:29,947,0.01,0.07,0.08,2G
7011143196,10.250.245.77,7947,84.92.98.189,6707,185.16.138.140,5222,153658726046,7987166284,10-06-2020,02:11:07,12-06-2020,21:48:01,423,0.06,0.09,0.15,2G
7011143196,172.24.112.187,2688,87.243.174.8,1764,79.234.139.166,40008,273442409825,8309022731,20-06-2020,20:31:57,20-06-2020,20:53:31,132,0.0,0.0,0.0,3G
7011143196,192.201.172.175,1272,154.100.37.188,2480,243.247.38.42,8003,546382808026,8907741669,18-06-2020,19:06:57,20-06-2020,21:24:34,270,0.0,0.08,0.08,3G
7011143196,172.27.224.129,3644,104.107.22.21,7673,139.178.177.91,5223,825310601220,7836582797,02-06-2020,18:06:06,06-06-2020,17:51:39,648,0.01,0.04,0.05,3G
7011143196,10.107.93.226,6708,154.243.4.92,4915,160.11.34.210,8081,757249213756,9179937522,17-06-2020,10:35:10,17-06-2020,13:45:32,505,0.01,0.06,0.06999999999999999,2G
7011143196,172.25.46.136,3026,219.56.45.92,6202,143.215.242.46,51637,783070226773,9269899066,18-06-2020,14:32:53,20-06-2020,01:53:50,672,0.08,0.06,0.14,3G
7011143196,172.23.224.3,3383,134.242.83.207,8557,199.77.34.120,8017,766197031364,7925397602,15-06-2020,22:46:00,17-06-2020,16:34:04,993,0.07,0.0,0.07,3G
7011143196,10.135.20.193,2317,235.69.22.26,4349,116.161.6.137,40001,763199007467,8375756762,15-06-2020,01:23:15,19-06-2020,16:28:27,792,0.04,0.02,0.06,2G
7011143196,192.198.21.170,4557,189.4.254.23,2013,127.109.222.238,40029,156729627036,7668149086,01-06-2020,15:57:10,12-06-2020,18:00:37,132,0.08,0.09,0.16999999999999998,3G
7011143196,192.194.180.156,8347,208.116.87.118,680,49.77.247.237,40004,375442583287,9655112370,12-06-2020,09:29:14,18-06-2020,06:31:48,162,0.05,0.07,0.12000000000000001,3G
7011143196,10.171.146.130,4085,14.239.128.108,2523,31.187.108.207,40004,145350327923,7965323466,15-06-2020,19:07:34,16-06-2020,09:24:14,128,0.09,0.08,0.16999999999999998,2G
7011143196,172.23.196.44,613,188.217.112.194,8258,231.30.87.38,51637,826331145159,7236616261,14-06-2020,01:12:40,20-06-2020,13:33:30,289,0.01,0.06,0.06999999999999999,3G
7011143196,10.190.183.51,7832,155.42.162.244,9216,115.29.217.18,8027,670831520036,7101973856,17-06-2020,13:56:58,18-06-2020,19:27:54,330,0.0,0.06,0.06,2G
7011143196,172.26.248.35,7780,4.189.66.8,8968,116.92.2.147,443,208623217859,7696389596,15-06-2020,11:10:56,15-06-2020,19:29:22,431,0.03,0.09,0.12,2G
7011143196,192.255.21.191,2406,144.183.222.242,348,155.93.8.200,40023,704309911211,8665075241,09-06-2020,07:50:51,13-06-2020,00:38:22,521,0.0,0.04,0.04,2G
7011143196,172.28.210.254,6552,6.199.162.197,7458,67.207.200.3,40004,836409976497,9048337296,19-06-2020,05:17:15,19-06-2020,18:51:54,265,0.03,0.05,0.08,2G
7011143196,192.115.38.172,4556,2.54.147.214,16,193.236.16.84,8081,701955956743,9422984589,13-06-2020,02:40:43,15-06-2020,22:54:08,605,0.04,0.03,0.07,3G
7011143196,192.73.205.244,1252,80.46.33.251,91,169.234.13.147,5228,624769245425,7178049729,08-06-2020,15:07:41,18-06-2020,12:27:17,411,0.04,0.0,0.04,3G
7011143196,172.20.70.131,6481,76.47.0.103,7849,240.59.194.168,40005,816278318215,8894685604,02-06-2020,23:21:26,16-06-2020,07:32:56,463,0.08,0.04,0.12,3G
7011143196,172.19.164.247,8126,83.89.69.119,5925,157.152.48.56,443,863950314270,9370409887,04-06-2020,02:00:20,18-06-2020,14:11:01,871,0.05,0.04,0.09,3G
7011143196,192.196.106.118,2390,11.203.20.217,7149,253.183.41.181,5223,289109147028,9978792917,05-06-2020,20:02:16,08-06-2020,08:19:32,461,0.05,0.0,0.05,2G
7011143196,192.113.99.174,6860,30.203.128.19,8911,214.74.237.234,8081,286395023600,8111497788,18-06-2020,15:43:20,20-06-2020,11:20:33,908,0.04,0.01,0.05,2G
7011143196,172.21.148.6,4144,68.202.8.251,6067,25.74.148.224,40005,414071940331,9434108963,19-06-2020,06:52:10,19-06-2020,08:27:51,506,0.05,0.07,0.12000000000000001,2G
7011143196,192.191.107.230,1889,82.23.77.64,767,141.189.112.214,40031,798874931885,7030761500,10-06-2020,02:44:31,10-06-2020,23:18:39,340,0.09,0.04,0.13,3G
7011143196,192.41.249.96,6432,139.158.166.236,6687,221.62.91.219,8080,630762762861,7523326159,14-06-2020,20:57:26,20-06-2020,08:51:58,936,0.05,0.08,0.13,2G
7011143196,10.21.252.243,1032,213.143.230.166,2734,180.57.41.184,40005,806161100951,9859477595,09-06-2020,08:52:52,17-06-2020,15:12:15,764,0.01,0.02,0.03,3G
7011143196,172.25.155.204,9881,240.207.250.87,3510,248.55.125.200,40034,211198376533,9969948483,20-06-2020,08:33:16,20-06-2020,13:06:31,676,0.07,0.05,0.12000000000000001,2G
7011143196,10.214.241.100,473,179.42.223.35,2284,100.180.193.131,5228,728967374146,7809727486,16-06-2020,12:14:40,16-06-2020,14:14:21,181,0.08,0.07,0.15000000000000002,2G
7011143196,10.148.159.107,9225,170.171.232.164,9374,88.33.159.5,8013,249850201919,9439909632,07-06-2020,21:31:13,15-06-2020,03:05:04,942,0.08,0.05,0.13,3G
7011143196,172.22.211.111,1067,43.253.120.237,3524,245.125.154.110,51637,743287257704,9285925761,17-06-2020,22:36:01,19-06-2020,04:53:25,367,0.06,0.02,0.08,2G
7011143196,172.16.236.40,5053,47.82.110.37,8453,229.135.63.142,40032,724438197566,9767142330,05-06-2020,17:24:31,19-06-2020,21:25:47,112,0.02,0.06,0.08,2G
7011143196,172.29.119.249,3950,47.145.126.191,4922,252.167.99.39,40020,199294452912,8990549579,13-06-2020,10:00:04,19-06-2020,07:15:12,323,0.04,0.04,0.08,3G
7011143196,172.16.84.159,7998,207.21.66.70,9374,99.21.225.83,61076,127380293237,7776625596,05-06-2020,04:53:42,19-06-2020,20:16:36,189,0.07,0.09,0.16,2G
7011143196,192.154.64.108,3899,222.239.9.242,8483,161.152.50.81,49152-65535,405871995456,7074329682,19-06-2020,12:09:27,19-06-2020,21:04:54,440,0.01,0.06,0.06999999999999999,3G
7011143196,10.52.100.75,2165,187.242.40.201,7550,64.251.83.64,40020,488333307482,7563858091,16-06-2020,08:05:39,20-06-2020,01:13:16,254,0.08,0.09,0.16999999999999998,3G
7011143196,192.145.39.254,7889,66.140.39.162,3088,196.119.67.59,443_,489918737399,9045860688,19-06-2020,12:29:31,20-06-2020,02:24:09,619,0.03,0.07,0.1,2G
7011143196,192.94.38.204,784,207.69.137.115,5981,31.171.187.46,40029,459581573372,9225646146,06-06-2020,13:05:43,14-06-2020,01:43:22,145,0.03,0.05,0.08,2G
7011143196,192.181.113.132,936,233.96.163.143,8128,188.60.143.203,8024,731262561469,9145766003,15-06-2020,18:22:04,16-06-2020,10:43:25,927,0.09,0.03,0.12,2G
7011143196,172.16.66.10,5288,184.17.68.240,1056,64.130.4.233,7275,466254374636,7959970675,19-06-2020,02:12:13,19-06-2020,16:55:32,955,0.04,0.05,0.09,2G
7011143196,192.69.46.57,455,183.86.41.18,1285,145.125.199.142,5242,948144746616,8265571073,12-06-2020,10:30:14,15-06-2020,21:03:39,522,0.06,0.09,0.15,3G
7011143196,10.29.153.216,8129,61.117.61.26,6128,195.6.37.30,5222,825344163024,7372872997,17-06-2020,02:04:19,18-06-2020,20:18:32,751,0.01,0.09,0.09999999999999999,3G
7011143196,192.105.153.247,5825,189.239.79.53,1180,5.29.21.126,8013,349858862026,8502889954,06-06-2020,09:54:37,12-06-2020,23:17:33,972,0.07,0.01,0.08,2G
7011143196,192.60.99.138,2420,106.212.220.123,168,201.190.180.90,8024,946162616087,8941617802,17-06-2020,16:19:41,19-06-2020,00:50:24,168,0.0,0.04,0.04,2G
7011143196,192.22.143.196,6171,190.204.244.91,1487,184.48.28.71,40032,314281133481,7817974477,20-06-2020,00:08:34,20-06-2020,01:15:34,736,0.06,0.01,0.06999999999999999,2G
7011143196,172.29.6.148,5186,242.164.230.191,6131,7.177.212.156,40029,811893073846,7713962892,19-06-2020,23:36:16,20-06-2020,10:41:09,504,0.03,0.07,0.1,2G
7011143196,10.249.111.115,2438,159.236.97.45,8491,68.104.57.25,40034,125006391593,8137715782,01-06-2020,10:12:38,12-06-2020,14:50:17,111,0.08,0.0,0.08,3G
7053711318,172.27.2.207,3806,146.32.205.124,2895,200.60.235.93,40029,116024764843,9872983467,01-06-2020,17:11:44,09-06-2020,00:37:38,777,0.0,0.03,0.03,3G
7053711318,10.118.81.232,2229,101.85.57.31,800,157.90.86.29,443_,155474429755,7591015170,09-06-2020,12:15:11,15-06-2020,17:10:14,155,0.08,0.09,0.16999999999999998,3G
7053711318,172.23.41.18,6061,47.122.138.191,9900,67.13.143.201,40032,142650114018,9886743688,08-06-2020,12:49:28,12-06-2020,19:06:26,316,0.04,0.08,0.12,3G
7053711318,10.117.152.38,4298,116.189.183.97,487,106.161.180.197,443,665819996653,8899305231,14-06-2020,05:13:41,19-06-2020,19:20:49,348,0.03,0.04,0.07,2G
7053711318,172.25.199.183,304,133.38.211.121,629,121.17.226.97,443,208077552238,9957207769,10-06-2020,05:23:50,11-06-2020,05:13:41,218,0.06,0.0,0.06,2G
7053711318,172.18.202.219,3327,180.174.55.76,9113,105.72.142.166,5222,283508009273,9995066735,05-06-2020,15:38:00,12-06-2020,18:04:39,450,0.07,0.09,0.16,2G
7053711318,172.27.196.70,4844,14.16.3.49,9684,154.162.168.235,5223,563324659195,8859038547,09-06-2020,03:12:00,19-06-2020,13:47:15,520,0.08,0.03,0.11,2G
7053711318,172.28.163.109,553,232.143.219.154,5017,221.2.195.8,49152-65535,617285960964,8416476227,13-06-2020,10:58:21,19-06-2020,11:24:23,574,0.07,0.05,0.12000000000000001,2G
7053711318,172.23.123.2,6410,223.64.160.206,2283,160.250.212.210,40019,466957541015,9030319061,12-06-2020,18:17:49,13-06-2020,14:04:52,247,0.03,0.08,0.11,3G
7053711318,192.131.36.176,5513,144.204.5.111,6780,99.208.206.124,58128,918930932493,8932584457,19-06-2020,16:57:16,19-06-2020,23:17:38,816,0.07,0.07,0.14,2G
7053711318,10.199.137.243,2755,255.103.154.184,1917,141.158.145.245,8024,113039892859,9991523985,12-06-2020,13:27:19,15-06-2020,21:29:02,347,0.03,0.08,0.11,2G
7053711318,172.28.222.65,3959,219.117.113.20,6766,142.183.84.121,8025,840203561112,9323915804,05-06-2020,10:28:58,06-06-2020,09:07:30,678,0.08,0.09,0.16999999999999998,2G
7053711318,10.229.170.173,9159,78.134.70.96,3134,133.213.218.104,61076,859296908447,8986701957,08-06-2020,22:40:52,11-06-2020,17:08:51,237,0.08,0.07,0.15000000000000002,2G
