Caller,Receiver,Date,Time,Duration,TowerID,IMEI
8009764422,7749646749,10-06-2020,13:02:47,97,404-4523361-45973,313836250812604
8009764422,7621731436,01-06-2020,23:09:56,60,404-4523361-14842,919206769723772
7976019790,8733574303,02-06-2020,03:32:07,48,404-733102-21102887,162993650052090
7976019790,7390229242,17-06-2020,16:56:29,27,404-4534204-27529358,720904910391629
7976019790,9593826873,19-06-2020,05:12:59,90,404-4521792-14032,817269212366147
7976019790,7824803397,06-06-2020,04:14:18,31,404-3810-12032,639974644492152
7976019790,8414700939,08-06-2020,22:08:35,65,404-45541-40181,055923965999073
7976019790,8060813743,13-06-2020,15:22:31,4,404-4523361-49513,085767706962306
7976019790,7360283896,20-06-2020,03:36:37,30,404-40501-24401,915657144900711
7976019790,7487440539,15-06-2020,14:08:19,53,404-3811016-72558384,422872258765371
7976019790,8397296051,11-06-2020,01:00:09,52,404-4523361-45973,010947732154376
7976019790,7710774318,06-06-2020,07:59:59,14,404-40501-24401,117651503886795
8568684447,7742562158,06-06-2020,05:40:38,68,404-458211-14222,978783054447242
8568684447,8821812367,19-06-2020,12:48:31,39,404-4523361-10732,259038863738438
8984530827,7040653243,08-06-2020,17:59:22,60,404-4523361-49513,784432330167151
8169360572,9767155756,08-06-2020,23:31:15,26,404-4534204-27529358,806323568418013
8169360572,9584315803,02-06-2020,02:05:23,16,404-40501-24401,908425382084606
8169360572,7710774318,03-06-2020,02:37:47,97,404-732721-29792,522451913294535
8169360572,8955875566,16-06-2020,17:37:06,7,404-102005-233197825,113912460226312
8169360572,8830743270,18-06-2020,07:28:30,15,404-733102-21102887,341467928899447
8169360572,8678820505,06-06-2020,09:28:55,1,404-458211-21193,634717912935189
8169360572,7824803397,05-06-2020,23:41:54,42,404-4521792-14032,045193470007077
7845837773,8158409952,11-06-2020,04:11:07,87,404-4521792-273,611447710970132
7845837773,8312057465,14-06-2020,07:13:40,29,404-732721-29792,996391820002029
7845837773,8134321085,13-06-2020,05:53:02,36,404-4523361-5062,035508648813799
7845837773,7700276437,17-06-2020,18:42:15,42,404-102005-233197825,344194736499243
9344384767,9145974571,03-06-2020,00:48:10,88,404-4523361-45973,237216769775868
9344384767,7212443111,11-06-2020,22:06:22,6,404-4534204-27529358,362966030642457
9344384767,8060813743,16-06-2020,16:39:37,72,404-4523361-10732,380785410565796
9344384767,8397296051,18-06-2020,00:44:36,25,404-4523361-50883,009145849497082
9344384767,7023719927,16-06-2020,21:50:48,61,404-4523361-10732,572042767633825
9344384767,9113860049,08-06-2020,05:56:55,93,404-4523361-50883,466856481486720
9344384767,8746633507,10-06-2020,01:13:55,40,404-733102-21102887,760603774239056
