IMEI,Private IP,Private Port,Public IP,Public Port,Dest IP,DEST PORT,MSISDN,IMSI,Start Date,Start Time,End Date,End Time,CELL_ID,Uplink Volume,Downlink Volume,Total Volume,I_RATTYPE
7003530430,172.25.73.93,6538,216.188.203.163,7922,63.111.45.80,4244,881595709131,7282159496,18-06-2020,19:44:02,20-06-2020,19:20:39,327,0.04,0.01,0.05,3G
7003530430,10.75.173.51,5528,17.117.208.120,5706,240.221.160.14,40031,482535469472,7472275681,10-06-2020,14:32:37,20-06-2020,15:30:24,678,0.07,0.05,0.12000000000000001,3G
7003530430,192.223.88.13,4934,38.104.55.33,8169,30.96.14.80,40017,776362556004,8972417281,14-06-2020,12:00:44,15-06-2020,18:43:37,305,0.07,0.0,0.07,2G
7003530430,172.22.92.218,902,66.180.219.229,9250,175.126.201.103,40005,540975344366,9698260574,15-06-2020,09:49:54,17-06-2020,00:26:11,879,0.04,0.01,0.05,3G
7003530430,172.18.185.162,4707,133.255.95.144,2654,232.52.56.30,40001,523578136860,7162580625,10-06-2020,23:28:47,18-06-2020,18:23:10,495,0.09,0.0,0.09,3G
7003530430,172.23.43.154,3946,246.57.164.11,3667,156.64.64.232,40004,734197599984,8564724103,13-06-2020,14:23:55,15-06-2020,20:50:06,392,0.09,0.05,0.14,2G
7003530430,10.93.135.252,5764,214.218.40.59,2156,78.191.176.249,40023,330376826545,7474279513,07-06-2020,04:14:20,14-06-2020,00:51:42,148,0.07,0.09,0.16,3G
7003530430,192.53.8.201,4724,67.77.155.115,4221,138.240.161.113,40026,249684562127,9005484642,14-06-2020,23:14:27,18-06-2020,07:30:26,313,0.0,0.02,0.02,3G
7003530430,10.237.25.219,5855,48.163.33.50,8888,106.1.43.175,40001,368567713007,7464195354,20-06-2020,16:05:42,20-06-2020,18:01:50,804,0.06,0.0,0.06,3G
7003530430,172.28.11.217,8694,235.17.161.199,449,85.233.91.151,80,906167988451,9472182993,01-06-2020,20:03:50,05-06-2020,04:21:32,924,0.09,0.02,0.11,2G
7003530430,172.28.184.194,5048,99.90.230.233,3886,157.81.99.89,40026,641492394413,7437767388,13-06-2020,10:24:44,20-06-2020,18:27:36,434,0.0,0.03,0.03,2G
7003530430,10.99.142.42,8313,200.43.119.147,9062,48.90.23.38,8080,554505416056,7835756071,17-06-2020,09:13:05,19-06-2020,16:06:05,915,0.03,0.07,0.1,3G
7003530430,172.17.100.64,3851,252.201.63.87,6857,43.66.157.44,40023,580999449764,8590592622,01-06-2020,01:35:55,07-06-2020,02:41:09,398,0.05,0.06,0.11,2G
7003530430,192.68.180.142,3362,219.120.193.112,6292,8.110.94.2,8025,556367024531,8646077115,01-06-2020,13:49:51,01-06-2020,17:34:42,709,0.08,0.05,0.13,2G
